2023-11-21 09:40:58,633 - INFO - Config:
data:
  train:
    info_path: "./dataset/train"
    batch_size: 250
    num_workers: 0
    shuffle: True
  val:
    info_path: "./dataset/val"
    batch_size: 5
    num_workers: 0
    shuffle: True

optimizer:
  type: 'Adam'
  lr: 0.004  

checkpoint: 

epoch: 128
val_epoch: 50
step_epoch: 20
work_dir: "./work_dir"

2023-11-21 09:41:19,377 - INFO - Epoch [2/128][19/20], lr:0.004, eta: 0:17:28, data_time: 0.20, iter_time: 0.20, loss: 0.1401
2023-11-21 09:41:19,677 - INFO - Epoch [2/128][20/20], lr:0.004, eta: 0:17:29, data_time: 0.21, iter_time: 0.22, loss: 1.7144
2023-11-21 09:41:20,015 - INFO - Epoch [3/128][1/20], lr:0.004, eta: 0:17:43, data_time: 0.21, iter_time: 0.21, loss: 0.8953
2023-11-21 09:41:20,299 - INFO - Epoch [3/128][2/20], lr:0.004, eta: 0:17:12, data_time: 0.20, iter_time: 0.20, loss: 9.4135
2023-11-21 09:41:20,588 - INFO - Epoch [3/128][3/20], lr:0.004, eta: 0:17:09, data_time: 0.20, iter_time: 0.21, loss: 4.6237
2023-11-21 09:41:20,881 - INFO - Epoch [3/128][4/20], lr:0.004, eta: 0:17:12, data_time: 0.20, iter_time: 0.21, loss: 0.3522
2023-11-21 09:41:21,179 - INFO - Epoch [3/128][5/20], lr:0.004, eta: 0:17:18, data_time: 0.21, iter_time: 0.21, loss: 0.5496
2023-11-21 09:41:21,476 - INFO - Epoch [3/128][6/20], lr:0.004, eta: 0:17:22, data_time: 0.21, iter_time: 0.21, loss: 0.1164
2023-11-21 09:41:21,769 - INFO - Epoch [3/128][7/20], lr:0.004, eta: 0:17:22, data_time: 0.20, iter_time: 0.21, loss: 0.1951
2023-11-21 09:41:22,055 - INFO - Epoch [3/128][8/20], lr:0.004, eta: 0:17:17, data_time: 0.20, iter_time: 0.20, loss: 0.4840
2023-11-21 09:41:22,357 - INFO - Epoch [3/128][9/20], lr:0.004, eta: 0:17:21, data_time: 0.21, iter_time: 0.22, loss: 0.1864
2023-11-21 09:41:22,650 - INFO - Epoch [3/128][10/20], lr:0.004, eta: 0:17:21, data_time: 0.20, iter_time: 0.21, loss: 0.2709
2023-11-21 09:41:22,948 - INFO - Epoch [3/128][11/20], lr:0.004, eta: 0:17:23, data_time: 0.21, iter_time: 0.21, loss: 0.0174
2023-11-21 09:41:23,241 - INFO - Epoch [3/128][12/20], lr:0.004, eta: 0:17:22, data_time: 0.21, iter_time: 0.21, loss: 0.0545
2023-11-21 09:41:23,544 - INFO - Epoch [3/128][13/20], lr:0.004, eta: 0:17:25, data_time: 0.21, iter_time: 0.22, loss: 0.0378
